episode,reward
0,-13.550000000000011
100,-55.55000000000001
200,14.900000000000006
300,31.899999999999977
400,-28.80000000000001
500,10.099999999999994
600,-48.05000000000001
700,-40.150000000000006
800,-42.75
900,-7.400000000000006
1000,-19.549999999999983
1100,-20.80000000000001
1200,-0.09999999999999432
1300,9.700000000000017
1400,-3.3000000000000114
1500,20.599999999999994
1600,53.349999999999994
1700,-4.299999999999983
1800,-22.0
1900,14.599999999999994
2000,-27.0
2100,37.599999999999994
2200,-1.4499999999999886
2300,4.650000000000006
2400,3.8999999999999773
2500,-15.900000000000006
2600,19.849999999999994
2700,1.9499999999999886
2800,5.900000000000006
2900,-11.599999999999994
3000,-15.150000000000006
